,,,,,,,,,,,,,,,,,,,,
,SQUID,F39-A,L40-B,,,,,,,,,,,,,,,,,
,1/Mf,32.9,33.17,,,,,,,,,,,,,,,,,
,1/Min,24.6,26.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TES,2407-MI-1-F,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Rf,1.00E+05,Ω,FLL フィードバック抵抗,,,,,,,,,,,,,,,,
,Rs,2.00E-02,Ω,シャント抵抗,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1/Mf,33.17,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,1/Min,26.2,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,Mf,0.03014772385,Phi0 / uA,,,,,,,,,,,,,,,,,
,Min,0.03816793893,Phi0 / uA,,,,,,,,,,,,,,,,,
,Mf/Min,0.7898703648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,測定値,,,,,,,,,I-Vプロット用,,,R-Vプロット用,,,,R-I プロット用,,P-V プロット用,
,Ib [uA],Ib [A],SQUID out [V],Ites [A],Vtes [V],Rtes [Ω],Ptes [W],,,Vtes [V],Ites[A],,Vtes[V],Rtes[Ω],R ratio,,Ites[A],Rtes[Ω],Vtes [V],Ptes [W]
,5.55E+02,5.55E-04,1.54E-01,1.22E-06,1.11E-05,9.10E+00,1.35E-11,,,1.11E-05,1.22E-06,,1.11E-05,9.10E+00,0.938,,1.22E-06,9.10E+00,1.11E-05,1.35E-11
,5.50E+02,5.50E-04,1.53E-01,1.21E-06,1.10E-05,9.07E+00,1.33E-11,,,1.10E-05,1.21E-06,,1.10E-05,9.07E+00,0.936,,1.21E-06,9.07E+00,1.10E-05,1.33E-11
,5.45E+02,5.45E-04,1.52E-01,1.20E-06,1.09E-05,9.05E+00,1.31E-11,,,1.09E-05,1.20E-06,,1.09E-05,9.05E+00,0.934,,1.20E-06,9.05E+00,1.09E-05,1.31E-11
,5.40E+02,5.40E-04,1.51E-01,1.19E-06,1.08E-05,9.05E+00,1.28E-11,,,1.08E-05,1.19E-06,,1.08E-05,9.05E+00,0.934,,1.19E-06,9.05E+00,1.08E-05,1.28E-11
,5.35E+02,5.35E-04,1.50E-01,1.18E-06,1.07E-05,9.02E+00,1.26E-11,,,1.07E-05,1.18E-06,,1.07E-05,9.02E+00,0.931,,1.18E-06,9.02E+00,1.07E-05,1.26E-11
,5.30E+02,5.30E-04,1.49E-01,1.18E-06,1.06E-05,9.00E+00,1.24E-11,,,1.06E-05,1.18E-06,,1.06E-05,9.00E+00,0.928,,1.18E-06,9.00E+00,1.06E-05,1.24E-11
,5.25E+02,5.25E-04,1.47E-01,1.16E-06,1.05E-05,9.00E+00,1.22E-11,,,1.05E-05,1.16E-06,,1.05E-05,9.00E+00,0.928,,1.16E-06,9.00E+00,1.05E-05,1.22E-11
,5.20E+02,5.20E-04,1.47E-01,1.16E-06,1.04E-05,8.96E+00,1.20E-11,,,1.04E-05,1.16E-06,,1.04E-05,8.96E+00,0.925,,1.16E-06,8.96E+00,1.04E-05,1.20E-11
,5.15E+02,5.15E-04,1.45E-01,1.15E-06,1.03E-05,8.95E+00,1.18E-11,,,1.03E-05,1.15E-06,,1.03E-05,8.95E+00,0.924,,1.15E-06,8.95E+00,1.03E-05,1.18E-11
,5.10E+02,5.10E-04,1.44E-01,1.14E-06,1.02E-05,8.94E+00,1.16E-11,,,1.02E-05,1.14E-06,,1.02E-05,8.94E+00,0.922,,1.14E-06,8.94E+00,1.02E-05,1.16E-11
,5.05E+02,5.05E-04,1.43E-01,1.13E-06,1.01E-05,8.91E+00,1.14E-11,,,1.01E-05,1.13E-06,,1.01E-05,8.91E+00,0.920,,1.13E-06,8.91E+00,1.01E-05,1.14E-11
,5.00E+02,5.00E-04,1.42E-01,1.12E-06,9.98E-06,8.89E+00,1.12E-11,,,9.98E-06,1.12E-06,,9.98E-06,8.89E+00,0.917,,1.12E-06,8.89E+00,9.98E-06,1.12E-11
,4.95E+02,4.95E-04,1.41E-01,1.11E-06,9.88E-06,8.88E+00,1.10E-11,,,9.88E-06,1.11E-06,,9.88E-06,8.88E+00,0.916,,1.11E-06,8.88E+00,9.88E-06,1.10E-11
,4.90E+02,4.90E-04,1.40E-01,1.11E-06,9.78E-06,8.85E+00,1.08E-11,,,9.78E-06,1.11E-06,,9.78E-06,8.85E+00,0.913,,1.11E-06,8.85E+00,9.78E-06,1.08E-11
,4.85E+02,4.85E-04,1.39E-01,1.10E-06,9.68E-06,8.83E+00,1.06E-11,,,9.68E-06,1.10E-06,,9.68E-06,8.83E+00,0.911,,1.10E-06,8.83E+00,9.68E-06,1.06E-11
,4.80E+02,4.80E-04,1.38E-01,1.09E-06,9.58E-06,8.80E+00,1.04E-11,,,9.58E-06,1.09E-06,,9.58E-06,8.80E+00,0.908,,1.09E-06,8.80E+00,9.58E-06,1.04E-11
,4.75E+02,4.75E-04,1.37E-01,1.08E-06,9.48E-06,8.77E+00,1.02E-11,,,9.48E-06,1.08E-06,,9.48E-06,8.77E+00,0.905,,1.08E-06,8.77E+00,9.48E-06,1.02E-11
,4.70E+02,4.70E-04,1.36E-01,1.07E-06,9.38E-06,8.74E+00,1.01E-11,,,9.38E-06,1.07E-06,,9.38E-06,8.74E+00,0.902,,1.07E-06,8.74E+00,9.38E-06,1.01E-11
,4.65E+02,4.65E-04,1.35E-01,1.07E-06,9.28E-06,8.70E+00,9.89E-12,,,9.28E-06,1.07E-06,,9.28E-06,8.70E+00,0.898,,1.07E-06,8.70E+00,9.28E-06,9.89E-12
,4.60E+02,4.60E-04,1.34E-01,1.06E-06,9.18E-06,8.68E+00,9.71E-12,,,9.18E-06,1.06E-06,,9.18E-06,8.68E+00,0.895,,1.06E-06,8.68E+00,9.18E-06,9.71E-12
,4.55E+02,4.55E-04,1.33E-01,1.05E-06,9.08E-06,8.65E+00,9.53E-12,,,9.08E-06,1.05E-06,,9.08E-06,8.65E+00,0.892,,1.05E-06,8.65E+00,9.08E-06,9.53E-12
,4.50E+02,4.50E-04,1.32E-01,1.04E-06,8.98E-06,8.62E+00,9.35E-12,,,8.98E-06,1.04E-06,,8.98E-06,8.62E+00,0.889,,1.04E-06,8.62E+00,8.98E-06,9.35E-12
,4.45E+02,4.45E-04,1.31E-01,1.03E-06,8.88E-06,8.60E+00,9.17E-12,,,8.88E-06,1.03E-06,,8.88E-06,8.60E+00,0.887,,1.03E-06,8.60E+00,8.88E-06,9.17E-12
,4.40E+02,4.40E-04,1.30E-01,1.03E-06,8.78E-06,8.56E+00,9.00E-12,,,8.78E-06,1.03E-06,,8.78E-06,8.56E+00,0.883,,1.03E-06,8.56E+00,8.78E-06,9.00E-12
,4.35E+02,4.35E-04,1.29E-01,1.02E-06,8.68E-06,8.51E+00,8.85E-12,,,8.68E-06,1.02E-06,,8.68E-06,8.51E+00,0.878,,1.02E-06,8.51E+00,8.68E-06,8.85E-12
,4.30E+02,4.30E-04,1.29E-01,1.02E-06,8.58E-06,8.45E+00,8.72E-12,,,8.58E-06,1.02E-06,,8.58E-06,8.45E+00,0.871,,1.02E-06,8.45E+00,8.58E-06,8.72E-12
,4.25E+02,4.25E-04,1.28E-01,1.01E-06,8.48E-06,8.40E+00,8.56E-12,,,8.48E-06,1.01E-06,,8.48E-06,8.40E+00,0.866,,1.01E-06,8.40E+00,8.48E-06,8.56E-12
,4.20E+02,4.20E-04,1.27E-01,1.00E-06,8.38E-06,8.35E+00,8.41E-12,,,8.38E-06,1.00E-06,,8.38E-06,8.35E+00,0.861,,1.00E-06,8.35E+00,8.38E-06,8.41E-12
,4.15E+02,4.15E-04,1.26E-01,9.99E-07,8.28E-06,8.29E+00,8.27E-12,,,8.28E-06,9.99E-07,,8.28E-06,8.29E+00,0.855,,9.99E-07,8.29E+00,8.28E-06,8.27E-12
,4.10E+02,4.10E-04,1.26E-01,9.94E-07,8.18E-06,8.23E+00,8.13E-12,,,8.18E-06,9.94E-07,,8.18E-06,8.23E+00,0.849,,9.94E-07,8.23E+00,8.18E-06,8.13E-12
,4.05E+02,4.05E-04,1.25E-01,9.89E-07,8.08E-06,8.17E+00,7.99E-12,,,8.08E-06,9.89E-07,,8.08E-06,8.17E+00,0.843,,9.89E-07,8.17E+00,8.08E-06,7.99E-12
,4.00E+02,4.00E-04,1.25E-01,9.85E-07,7.98E-06,8.10E+00,7.86E-12,,,7.98E-06,9.85E-07,,7.98E-06,8.10E+00,0.835,,9.85E-07,8.10E+00,7.98E-06,7.86E-12
,3.95E+02,3.95E-04,1.25E-01,9.84E-07,7.88E-06,8.01E+00,7.75E-12,,,7.88E-06,9.84E-07,,7.88E-06,8.01E+00,0.826,,9.84E-07,8.01E+00,7.88E-06,7.75E-12
,3.90E+02,3.90E-04,1.24E-01,9.82E-07,7.78E-06,7.92E+00,7.64E-12,,,7.78E-06,9.82E-07,,7.78E-06,7.92E+00,0.817,,9.82E-07,7.92E+00,7.78E-06,7.64E-12
,3.85E+02,3.85E-04,1.24E-01,9.82E-07,7.68E-06,7.82E+00,7.54E-12,,,7.68E-06,9.82E-07,,7.68E-06,7.82E+00,0.807,,9.82E-07,7.82E+00,7.68E-06,7.54E-12
,3.80E+02,3.80E-04,1.24E-01,9.83E-07,7.58E-06,7.71E+00,7.45E-12,,,7.58E-06,9.83E-07,,7.58E-06,7.71E+00,0.795,,9.83E-07,7.71E+00,7.58E-06,7.45E-12
,3.75E+02,3.75E-04,1.25E-01,9.84E-07,7.48E-06,7.60E+00,7.36E-12,,,7.48E-06,9.84E-07,,7.48E-06,7.60E+00,0.784,,9.84E-07,7.60E+00,7.48E-06,7.36E-12
,3.70E+02,3.70E-04,1.25E-01,9.87E-07,7.38E-06,7.48E+00,7.29E-12,,,7.38E-06,9.87E-07,,7.38E-06,7.48E+00,0.771,,9.87E-07,7.48E+00,7.38E-06,7.29E-12
,3.65E+02,3.65E-04,1.25E-01,9.89E-07,7.28E-06,7.36E+00,7.20E-12,,,7.28E-06,9.89E-07,,7.28E-06,7.36E+00,0.759,,9.89E-07,7.36E+00,7.28E-06,7.20E-12
,3.60E+02,3.60E-04,1.26E-01,9.95E-07,7.18E-06,7.22E+00,7.14E-12,,,7.18E-06,9.95E-07,,7.18E-06,7.22E+00,0.745,,9.95E-07,7.22E+00,7.18E-06,7.14E-12
,3.55E+02,3.55E-04,1.27E-01,1.00E-06,7.08E-06,7.07E+00,7.09E-12,,,7.08E-06,1.00E-06,,7.08E-06,7.07E+00,0.729,,1.00E-06,7.07E+00,7.08E-06,7.09E-12
,3.50E+02,3.50E-04,1.27E-01,1.01E-06,6.98E-06,6.93E+00,7.03E-12,,,6.98E-06,1.01E-06,,6.98E-06,6.93E+00,0.715,,1.01E-06,6.93E+00,6.98E-06,7.03E-12
,3.45E+02,3.45E-04,1.28E-01,1.01E-06,6.88E-06,6.79E+00,6.97E-12,,,6.88E-06,1.01E-06,,6.88E-06,6.79E+00,0.700,,1.01E-06,6.79E+00,6.88E-06,6.97E-12
,3.40E+02,3.40E-04,1.30E-01,1.02E-06,6.78E-06,6.63E+00,6.94E-12,,,6.78E-06,1.02E-06,,6.78E-06,6.63E+00,0.684,,1.02E-06,6.63E+00,6.78E-06,6.94E-12
,3.35E+02,3.35E-04,1.31E-01,1.03E-06,6.68E-06,6.48E+00,6.89E-12,,,6.68E-06,1.03E-06,,6.68E-06,6.48E+00,0.668,,1.03E-06,6.48E+00,6.68E-06,6.89E-12
,3.30E+02,3.30E-04,1.32E-01,1.04E-06,6.58E-06,6.33E+00,6.83E-12,,,6.58E-06,1.04E-06,,6.58E-06,6.33E+00,0.653,,1.04E-06,6.33E+00,6.58E-06,6.83E-12
,3.25E+02,3.25E-04,1.33E-01,1.05E-06,6.48E-06,6.18E+00,6.79E-12,,,6.48E-06,1.05E-06,,6.48E-06,6.18E+00,0.637,,1.05E-06,6.18E+00,6.48E-06,6.79E-12
,3.20E+02,3.20E-04,1.34E-01,1.06E-06,6.38E-06,6.01E+00,6.77E-12,,,6.38E-06,1.06E-06,,6.38E-06,6.01E+00,0.620,,1.06E-06,6.01E+00,6.38E-06,6.77E-12
,3.15E+02,3.15E-04,1.36E-01,1.07E-06,6.28E-06,5.87E+00,6.72E-12,,,6.28E-06,1.07E-06,,6.28E-06,5.87E+00,0.605,,1.07E-06,5.87E+00,6.28E-06,6.72E-12
,3.10E+02,3.10E-04,1.37E-01,1.08E-06,6.18E-06,5.71E+00,6.69E-12,,,6.18E-06,1.08E-06,,6.18E-06,5.71E+00,0.589,,1.08E-06,5.71E+00,6.18E-06,6.69E-12
,3.05E+02,3.05E-04,1.39E-01,1.10E-06,6.08E-06,5.54E+00,6.66E-12,,,6.08E-06,1.10E-06,,6.08E-06,5.54E+00,0.572,,1.10E-06,5.54E+00,6.08E-06,6.66E-12
,3.00E+02,3.00E-04,1.41E-01,1.11E-06,5.98E-06,5.38E+00,6.64E-12,,,5.98E-06,1.11E-06,,5.98E-06,5.38E+00,0.555,,1.11E-06,5.38E+00,5.98E-06,6.64E-12
,2.95E+02,2.95E-04,1.43E-01,1.13E-06,5.88E-06,5.22E+00,6.62E-12,,,5.88E-06,1.13E-06,,5.88E-06,5.22E+00,0.538,,1.13E-06,5.22E+00,5.88E-06,6.62E-12
,2.90E+02,2.90E-04,1.44E-01,1.14E-06,5.78E-06,5.06E+00,6.59E-12,,,5.78E-06,1.14E-06,,5.78E-06,5.06E+00,0.522,,1.14E-06,5.06E+00,5.78E-06,6.59E-12
,2.85E+02,2.85E-04,1.46E-01,1.16E-06,5.68E-06,4.91E+00,6.56E-12,,,5.68E-06,1.16E-06,,5.68E-06,4.91E+00,0.507,,1.16E-06,4.91E+00,5.68E-06,6.56E-12
,2.80E+02,2.80E-04,1.48E-01,1.17E-06,5.58E-06,4.76E+00,6.54E-12,,,5.58E-06,1.17E-06,,5.58E-06,4.76E+00,0.491,,1.17E-06,4.76E+00,5.58E-06,6.54E-12
,2.75E+02,2.75E-04,1.51E-01,1.19E-06,5.48E-06,4.59E+00,6.53E-12,,,5.48E-06,1.19E-06,,5.48E-06,4.59E+00,0.474,,1.19E-06,4.59E+00,5.48E-06,6.53E-12
,2.70E+02,2.70E-04,1.53E-01,1.21E-06,5.38E-06,4.44E+00,6.50E-12,,,5.38E-06,1.21E-06,,5.38E-06,4.44E+00,0.458,,1.21E-06,4.44E+00,5.38E-06,6.50E-12
,2.65E+02,2.65E-04,1.56E-01,1.23E-06,5.28E-06,4.29E+00,6.49E-12,,,5.28E-06,1.23E-06,,5.28E-06,4.29E+00,0.443,,1.23E-06,4.29E+00,5.28E-06,6.49E-12
,2.60E+02,2.60E-04,1.58E-01,1.25E-06,5.18E-06,4.14E+00,6.46E-12,,,5.18E-06,1.25E-06,,5.18E-06,4.14E+00,0.427,,1.25E-06,4.14E+00,5.18E-06,6.46E-12
,2.55E+02,2.55E-04,1.61E-01,1.27E-06,5.07E-06,3.99E+00,6.46E-12,,,5.07E-06,1.27E-06,,5.07E-06,3.99E+00,0.411,,1.27E-06,3.99E+00,5.07E-06,6.46E-12
,2.50E+02,2.50E-04,1.64E-01,1.29E-06,4.97E-06,3.85E+00,6.43E-12,,,4.97E-06,1.29E-06,,4.97E-06,3.85E+00,0.397,,1.29E-06,3.85E+00,4.97E-06,6.43E-12
,2.45E+02,2.45E-04,1.67E-01,1.32E-06,4.87E-06,3.70E+00,6.42E-12,,,4.87E-06,1.32E-06,,4.87E-06,3.70E+00,0.382,,1.32E-06,3.70E+00,4.87E-06,6.42E-12
,2.40E+02,2.40E-04,1.70E-01,1.34E-06,4.77E-06,3.56E+00,6.40E-12,,,4.77E-06,1.34E-06,,4.77E-06,3.56E+00,0.367,,1.34E-06,3.56E+00,4.77E-06,6.40E-12
,2.35E+02,2.35E-04,1.73E-01,1.37E-06,4.67E-06,3.42E+00,6.38E-12,,,4.67E-06,1.37E-06,,4.67E-06,3.42E+00,0.353,,1.37E-06,3.42E+00,4.67E-06,6.38E-12
,2.30E+02,2.30E-04,1.76E-01,1.39E-06,4.57E-06,3.28E+00,6.37E-12,,,4.57E-06,1.39E-06,,4.57E-06,3.28E+00,0.339,,1.39E-06,3.28E+00,4.57E-06,6.37E-12
,2.25E+02,2.25E-04,1.80E-01,1.42E-06,4.47E-06,3.15E+00,6.35E-12,,,4.47E-06,1.42E-06,,4.47E-06,3.15E+00,0.325,,1.42E-06,3.15E+00,4.47E-06,6.35E-12
,2.20E+02,2.20E-04,1.84E-01,1.45E-06,4.37E-06,3.01E+00,6.34E-12,,,4.37E-06,1.45E-06,,4.37E-06,3.01E+00,0.311,,1.45E-06,3.01E+00,4.37E-06,6.34E-12
,2.15E+02,2.15E-04,1.87E-01,1.48E-06,4.27E-06,2.88E+00,6.32E-12,,,4.27E-06,1.48E-06,,4.27E-06,2.88E+00,0.298,,1.48E-06,2.88E+00,4.27E-06,6.32E-12
,2.10E+02,2.10E-04,1.91E-01,1.51E-06,4.17E-06,2.76E+00,6.30E-12,,,4.17E-06,1.51E-06,,4.17E-06,2.76E+00,0.285,,1.51E-06,2.76E+00,4.17E-06,6.30E-12
,2.05E+02,2.05E-04,1.95E-01,1.54E-06,4.07E-06,2.64E+00,6.28E-12,,,4.07E-06,1.54E-06,,4.07E-06,2.64E+00,0.272,,1.54E-06,2.64E+00,4.07E-06,6.28E-12
,2.00E+02,2.00E-04,2.00E-01,1.58E-06,3.97E-06,2.51E+00,6.27E-12,,,3.97E-06,1.58E-06,,3.97E-06,2.51E+00,0.259,,1.58E-06,2.51E+00,3.97E-06,6.27E-12
,1.95E+02,1.95E-04,2.05E-01,1.62E-06,3.87E-06,2.39E+00,6.25E-12,,,3.87E-06,1.62E-06,,3.87E-06,2.39E+00,0.247,,1.62E-06,2.39E+00,3.87E-06,6.25E-12
,1.90E+02,1.90E-04,2.10E-01,1.66E-06,3.77E-06,2.27E+00,6.24E-12,,,3.77E-06,1.66E-06,,3.77E-06,2.27E+00,0.235,,1.66E-06,2.27E+00,3.77E-06,6.24E-12
,1.85E+02,1.85E-04,2.15E-01,1.70E-06,3.67E-06,2.16E+00,6.23E-12,,,3.67E-06,1.70E-06,,3.67E-06,2.16E+00,0.223,,1.70E-06,2.16E+00,3.67E-06,6.23E-12
,1.80E+02,1.80E-04,2.20E-01,1.74E-06,3.57E-06,2.05E+00,6.20E-12,,,3.57E-06,1.74E-06,,3.57E-06,2.05E+00,0.211,,1.74E-06,2.05E+00,3.57E-06,6.20E-12
,1.75E+02,1.75E-04,2.26E-01,1.78E-06,3.46E-06,1.94E+00,6.18E-12,,,3.46E-06,1.78E-06,,3.46E-06,1.94E+00,0.200,,1.78E-06,1.94E+00,3.46E-06,6.18E-12
,1.70E+02,1.70E-04,2.32E-01,1.83E-06,3.36E-06,1.84E+00,6.16E-12,,,3.36E-06,1.83E-06,,3.36E-06,1.84E+00,0.190,,1.83E-06,1.84E+00,3.36E-06,6.16E-12
,1.65E+02,1.65E-04,2.38E-01,1.88E-06,3.26E-06,1.73E+00,6.14E-12,,,3.26E-06,1.88E-06,,3.26E-06,1.73E+00,0.179,,1.88E-06,1.73E+00,3.26E-06,6.14E-12
,1.60E+02,1.60E-04,2.45E-01,1.93E-06,3.16E-06,1.63E+00,6.11E-12,,,3.16E-06,1.93E-06,,3.16E-06,1.63E+00,0.169,,1.93E-06,1.63E+00,3.16E-06,6.11E-12
,1.55E+02,1.55E-04,2.52E-01,1.99E-06,3.06E-06,1.54E+00,6.09E-12,,,3.06E-06,1.99E-06,,3.06E-06,1.54E+00,0.159,,1.99E-06,1.54E+00,3.06E-06,6.09E-12
,1.50E+02,1.50E-04,2.59E-01,2.05E-06,2.96E-06,1.45E+00,6.06E-12,,,2.96E-06,2.05E-06,,2.96E-06,1.45E+00,0.149,,2.05E-06,1.45E+00,2.96E-06,6.06E-12
,1.45E+02,1.45E-04,2.67E-01,2.11E-06,2.86E-06,1.35E+00,6.03E-12,,,2.86E-06,2.11E-06,,2.86E-06,1.35E+00,0.140,,2.11E-06,1.35E+00,2.86E-06,6.03E-12
,1.40E+02,1.40E-04,2.75E-01,2.17E-06,2.76E-06,1.27E+00,5.99E-12,,,2.76E-06,2.17E-06,,2.76E-06,1.27E+00,0.131,,2.17E-06,1.27E+00,2.76E-06,5.99E-12
,1.35E+02,1.35E-04,2.85E-01,2.25E-06,2.66E-06,1.18E+00,5.97E-12,,,2.66E-06,2.25E-06,,2.66E-06,1.18E+00,0.122,,2.25E-06,1.18E+00,2.66E-06,5.97E-12
,1.30E+02,1.30E-04,2.94E-01,2.32E-06,2.55E-06,1.10E+00,5.94E-12,,,2.55E-06,2.32E-06,,2.55E-06,1.10E+00,0.113,,2.32E-06,1.10E+00,2.55E-06,5.94E-12
,1.25E+02,1.25E-04,3.05E-01,2.41E-06,2.45E-06,1.02E+00,5.90E-12,,,2.45E-06,2.41E-06,,2.45E-06,1.02E+00,0.105,,2.41E-06,1.02E+00,2.45E-06,5.90E-12
,1.20E+02,1.20E-04,3.16E-01,2.50E-06,2.35E-06,9.41E-01,5.87E-12,,,2.35E-06,2.50E-06,,2.35E-06,9.41E-01,0.097,,2.50E-06,9.41E-01,2.35E-06,5.87E-12
,1.15E+02,1.15E-04,3.29E-01,2.60E-06,2.25E-06,8.66E-01,5.84E-12,,,2.25E-06,2.60E-06,,2.25E-06,8.66E-01,0.089,,2.60E-06,8.66E-01,2.25E-06,5.84E-12
,1.10E+02,1.10E-04,3.42E-01,2.70E-06,2.15E-06,7.94E-01,5.80E-12,,,2.15E-06,2.70E-06,,2.15E-06,7.94E-01,0.082,,2.70E-06,7.94E-01,2.15E-06,5.80E-12
,1.05E+02,1.05E-04,3.57E-01,2.82E-06,2.04E-06,7.24E-01,5.77E-12,,,2.04E-06,2.82E-06,,2.04E-06,7.24E-01,0.075,,2.82E-06,7.24E-01,2.04E-06,5.77E-12
,1.00E+02,1.00E-04,3.74E-01,2.95E-06,1.94E-06,6.58E-01,5.73E-12,,,1.94E-06,2.95E-06,,1.94E-06,6.58E-01,0.068,,2.95E-06,6.58E-01,1.94E-06,5.73E-12
,9.50E+01,9.50E-05,3.92E-01,3.10E-06,1.84E-06,5.94E-01,5.69E-12,,,1.84E-06,3.10E-06,,1.84E-06,5.94E-01,0.061,,3.10E-06,5.94E-01,1.84E-06,5.69E-12
,9.00E+01,9.00E-05,4.12E-01,3.26E-06,1.73E-06,5.33E-01,5.65E-12,,,1.73E-06,3.26E-06,,1.73E-06,5.33E-01,0.055,,3.26E-06,5.33E-01,1.73E-06,5.65E-12
,8.50E+01,8.50E-05,4.35E-01,3.44E-06,1.63E-06,4.75E-01,5.61E-12,,,1.63E-06,3.44E-06,,1.63E-06,4.75E-01,0.049,,3.44E-06,4.75E-01,1.63E-06,5.61E-12
,8.00E+01,8.00E-05,4.62E-01,3.65E-06,1.53E-06,4.19E-01,5.57E-12,,,1.53E-06,3.65E-06,,1.53E-06,4.19E-01,0.043,,3.65E-06,4.19E-01,1.53E-06,5.57E-12
,7.50E+01,7.50E-05,4.92E-01,3.89E-06,1.42E-06,3.66E-01,5.53E-12,,,1.42E-06,3.89E-06,,1.42E-06,3.66E-01,0.038,,3.89E-06,3.66E-01,1.42E-06,5.53E-12
,7.00E+01,7.00E-05,5.32E-01,4.20E-06,1.32E-06,3.13E-01,5.53E-12,,,1.32E-06,4.20E-06,,1.32E-06,3.13E-01,0.032,,4.20E-06,3.13E-01,1.32E-06,5.53E-12
,6.50E+01,6.50E-05,5.77E-01,4.56E-06,1.21E-06,2.65E-01,5.51E-12,,,1.21E-06,4.56E-06,,1.21E-06,2.65E-01,0.027,,4.56E-06,2.65E-01,1.21E-06,5.51E-12
,6.00E+01,6.00E-05,6.35E-01,5.01E-06,1.10E-06,2.19E-01,5.51E-12,,,1.10E-06,5.01E-06,,1.10E-06,2.19E-01,0.023,,5.01E-06,2.19E-01,1.10E-06,5.51E-12
,5.50E+01,5.50E-05,7.02E-01,5.54E-06,9.89E-07,1.78E-01,5.48E-12,,,9.89E-07,5.54E-06,,9.89E-07,1.78E-01,0.018,,5.54E-06,1.78E-01,9.89E-07,5.48E-12
,5.00E+01,5.00E-05,7.83E-01,6.18E-06,8.76E-07,1.42E-01,5.42E-12,,,8.76E-07,6.18E-06,,8.76E-07,1.42E-01,0.015,,6.18E-06,1.42E-01,8.76E-07,5.42E-12
,4.50E+01,4.50E-05,8.97E-01,7.09E-06,7.58E-07,1.07E-01,5.37E-12,,,7.58E-07,7.09E-06,,7.58E-07,1.07E-01,0.011,,7.09E-06,1.07E-01,7.58E-07,5.37E-12
,4.00E+01,4.00E-05,1.05E+00,8.28E-06,6.34E-07,7.66E-02,5.25E-12,,,6.34E-07,8.28E-06,,6.34E-07,7.66E-02,0.008,,8.28E-06,7.66E-02,6.34E-07,5.25E-12
,3.50E+01,3.50E-05,1.31E+00,1.04E-05,4.92E-07,4.75E-02,5.11E-12,,,4.92E-07,1.04E-05,,4.92E-07,4.75E-02,0.005,,1.04E-05,4.75E-02,4.92E-07,5.11E-12
,3.00E+01,3.00E-05,6.39E-01,5.05E-06,4.99E-07,9.89E-02,2.52E-12,,,4.99E-07,5.05E-06,,4.99E-07,9.89E-02,0.010,,5.05E-06,9.89E-02,4.99E-07,2.52E-12
,2.50E+01,2.50E-05,-2.65E-02,-2.09E-07,5.04E-07,-2.41E+00,-1.05E-13,,,5.04E-07,-2.09E-07,,5.04E-07,-2.41E+00,-0.249,,-2.09E-07,-2.41E+00,5.04E-07,-1.05E-13
,2.00E+01,2.00E-05,-6.81E-01,-5.38E-06,5.08E-07,-9.44E-02,-2.73E-12,,,5.08E-07,-5.38E-06,,5.08E-07,-9.44E-02,-0.010,,-5.38E-06,-9.44E-02,5.08E-07,-2.73E-12
,1.50E+01,1.50E-05,-1.35E+00,-1.07E-05,5.13E-07,-4.81E-02,-5.47E-12,,,5.13E-07,-1.07E-05,,5.13E-07,-4.81E-02,-0.005,,-1.07E-05,-4.81E-02,5.13E-07,-5.47E-12
,1.00E+01,1.00E-05,-2.00E+00,-1.58E-05,5.16E-07,-3.26E-02,-8.17E-12,,,5.16E-07,-1.58E-05,,5.16E-07,-3.26E-02,-0.003,,-1.58E-05,-3.26E-02,5.16E-07,-8.17E-12
,5.00E+00,5.00E-06,-2.67E+00,-2.11E-05,5.22E-07,-2.47E-02,-1.10E-11,,,5.22E-07,-2.11E-05,,5.22E-07,-2.47E-02,-0.003,,-2.11E-05,-2.47E-02,5.22E-07,-1.10E-11
,0.00E+00,0.00E+00,-3.32E+00,-2.62E-05,5.25E-07,-2.00E-02,-1.38E-11,,,5.25E-07,-2.62E-05,,5.25E-07,-2.00E-02,-0.002,,-2.62E-05,-2.00E-02,5.25E-07,-1.38E-11
