time	Vin
0.000000000000000e+00	4.420800e-23
1.647295999696195e-11	2.489982e-08
3.294591999392391e-11	5.502671e-08
4.941887999088586e-11	9.038067e-08
6.589183998784782e-11	1.309617e-07
8.236479998480978e-11	1.767698e-07
9.883775998177172e-11	2.278050e-07
1.153107199787337e-10	2.840672e-07
1.524535771215907e-10	3.920922e-07
1.895964342644477e-10	4.935936e-07
2.267392914073047e-10	5.885714e-07
2.638821485501618e-10	6.770255e-07
3.010250056930188e-10	7.589561e-07
3.381678628358758e-10	8.343630e-07
3.753107199787328e-10	9.032462e-07
4.347392914073040e-10	1.001190e-06
4.941678628358753e-10	1.090132e-06
5.535964342644466e-10	1.170072e-06
6.130250056930178e-10	1.241009e-06
6.724535771215890e-10	1.302945e-06
7.318821485501602e-10	1.355879e-06
7.913107199787314e-10	1.399811e-06
8.218821485501610e-10	1.421196e-06
8.524535771215905e-10	1.441334e-06
8.830250056930200e-10	1.460223e-06
9.135964342644496e-10	1.477864e-06
9.441678628358792e-10	1.494257e-06
9.747392914073087e-10	1.509401e-06
1.005310719978738e-09	1.523298e-06
1.006310719978738e-09	1.523741e-06
1.121882148550178e-09	1.564028e-06
1.237453577121619e-09	1.597646e-06
1.353025005693059e-09	1.624595e-06
1.468596434264499e-09	1.644875e-06
1.584167862835939e-09	1.658485e-06
1.699739291407379e-09	1.665427e-06
1.815310719978819e-09	1.665699e-06
2.030310719978806e-09	1.665873e-06
2.176453577121648e-09	1.661428e-06
2.322596434264489e-09	1.655948e-06
2.468739291407331e-09	1.649435e-06
2.614882148550172e-09	1.641888e-06
2.761025005693014e-09	1.633308e-06
2.907167862835856e-09	1.623694e-06
3.053310719978697e-09	1.613047e-06
3.054310719978697e-09	1.612978e-06
4.078310719978734e-09	1.539409e-06
5.102310719979048e-09	1.466708e-06
6.126310719979362e-09	1.397377e-06
7.150310719979676e-09	1.331556e-06
8.174310719979392e-09	1.269102e-06
9.198310719978859e-09	1.209846e-06
1.022231071997833e-08	1.153622e-06
1.124631071997779e-08	1.100272e-06
1.227031071997726e-08	1.049649e-06
1.329431071997673e-08	1.001610e-06
1.431831071997619e-08	9.560221e-07
1.534231071997639e-08	9.127578e-07
1.636631071997755e-08	8.716973e-07
1.739031071997871e-08	8.327268e-07
1.841431071997988e-08	7.957382e-07
1.943831071998104e-08	7.606293e-07
2.046231071998220e-08	7.273032e-07
2.148631071998336e-08	6.956681e-07
2.251031071998452e-08	6.656369e-07
2.353431071998568e-08	6.371270e-07
2.455831071998684e-08	6.100602e-07
2.558231071998800e-08	5.843624e-07
2.660631071998917e-08	5.599633e-07
2.763031071999033e-08	5.367962e-07
2.865431071999149e-08	5.147979e-07
2.967831071999265e-08	4.939087e-07
3.070231071999381e-08	4.740716e-07
3.172631071999497e-08	4.552329e-07
3.275031071999613e-08	4.373415e-07
3.377431071999729e-08	4.203489e-07
3.479831071999845e-08	4.042094e-07
3.582231071999961e-08	3.888793e-07
3.684631072000077e-08	3.743174e-07
3.787031072000193e-08	3.604845e-07
3.889431072000310e-08	3.473436e-07
3.991831072000426e-08	3.348594e-07
4.094231072000542e-08	3.229985e-07
4.196631072000658e-08	3.117293e-07
4.299031072000774e-08	3.010216e-07
4.401431072000890e-08	2.908470e-07
4.503831072001006e-08	2.811785e-07
4.606231072001122e-08	2.719904e-07
4.708631072001238e-08	2.632584e-07
4.811031072001355e-08	2.549594e-07
4.913431072001471e-08	2.470716e-07
5.015831072001587e-08	2.395740e-07
5.118231072001703e-08	2.324471e-07
5.220631072001819e-08	2.256722e-07
5.323031072001935e-08	2.192313e-07
5.425431072002051e-08	2.131078e-07
5.527831072002167e-08	2.072857e-07
5.630231072002283e-08	2.017497e-07
5.732631072002400e-08	1.964856e-07
5.835031072002516e-08	1.914795e-07
5.937431072002632e-08	1.867187e-07
5.999931072002702e-08	1.839281e-07
6.000000000000001e-08	1.839250e-07
